Vehicle_ID,Lane_Number,Frame_Number,Timestamp
1,1,1,0:00:00.033333
2,1,1,0:00:00.033333
3,1,1,0:00:00.033333
4,2,1,0:00:00.033333
5,2,1,0:00:00.033333
6,1,1,0:00:00.033333
8,1,1,0:00:00.033333
1,1,2,0:00:00.066667
2,1,2,0:00:00.066667
3,1,2,0:00:00.066667
4,2,2,0:00:00.066667
5,2,2,0:00:00.066667
6,1,2,0:00:00.066667
8,1,2,0:00:00.066667
1,1,3,0:00:00.100000
2,1,3,0:00:00.100000
3,1,3,0:00:00.100000
4,2,3,0:00:00.100000
5,2,3,0:00:00.100000
6,1,3,0:00:00.100000
8,1,3,0:00:00.100000
1,1,4,0:00:00.133333
2,1,4,0:00:00.133333
3,1,4,0:00:00.133333
4,2,4,0:00:00.133333
5,2,4,0:00:00.133333
6,1,4,0:00:00.133333
8,1,4,0:00:00.133333
1,1,5,0:00:00.166667
2,1,5,0:00:00.166667
3,1,5,0:00:00.166667
4,2,5,0:00:00.166667
5,2,5,0:00:00.166667
6,1,5,0:00:00.166667
8,1,5,0:00:00.166667
1,1,6,0:00:00.200000
2,1,6,0:00:00.200000
3,1,6,0:00:00.200000
4,2,6,0:00:00.200000
5,2,6,0:00:00.200000
6,1,6,0:00:00.200000
8,1,6,0:00:00.200000
1,1,7,0:00:00.233333
2,1,7,0:00:00.233333
3,1,7,0:00:00.233333
4,2,7,0:00:00.233333
5,2,7,0:00:00.233333
6,1,7,0:00:00.233333
8,1,7,0:00:00.233333
1,1,8,0:00:00.266667
2,1,8,0:00:00.266667
3,1,8,0:00:00.266667
4,2,8,0:00:00.266667
5,2,8,0:00:00.266667
6,1,8,0:00:00.266667
8,1,8,0:00:00.266667
1,1,9,0:00:00.300000
2,1,9,0:00:00.300000
3,1,9,0:00:00.300000
4,2,9,0:00:00.300000
5,2,9,0:00:00.300000
6,1,9,0:00:00.300000
8,1,9,0:00:00.300000
1,1,10,0:00:00.333333
2,1,10,0:00:00.333333
3,1,10,0:00:00.333333
4,2,10,0:00:00.333333
5,2,10,0:00:00.333333
6,1,10,0:00:00.333333
8,1,10,0:00:00.333333
14,1,10,0:00:00.333333
1,1,11,0:00:00.366667
2,1,11,0:00:00.366667
3,1,11,0:00:00.366667
4,2,11,0:00:00.366667
5,2,11,0:00:00.366667
6,1,11,0:00:00.366667
8,1,11,0:00:00.366667
14,1,11,0:00:00.366667
1,1,12,0:00:00.400000
2,1,12,0:00:00.400000
3,1,12,0:00:00.400000
4,2,12,0:00:00.400000
5,2,12,0:00:00.400000
6,1,12,0:00:00.400000
8,1,12,0:00:00.400000
14,1,12,0:00:00.400000
1,1,13,0:00:00.433333
2,1,13,0:00:00.433333
3,1,13,0:00:00.433333
4,2,13,0:00:00.433333
5,2,13,0:00:00.433333
6,1,13,0:00:00.433333
14,1,13,0:00:00.433333
1,1,14,0:00:00.466667
2,1,14,0:00:00.466667
3,1,14,0:00:00.466667
4,2,14,0:00:00.466667
5,2,14,0:00:00.466667
6,1,14,0:00:00.466667
14,1,14,0:00:00.466667
1,1,15,0:00:00.500000
2,1,15,0:00:00.500000
3,1,15,0:00:00.500000
4,2,15,0:00:00.500000
5,2,15,0:00:00.500000
6,1,15,0:00:00.500000
14,1,15,0:00:00.500000
1,1,16,0:00:00.533333
2,1,16,0:00:00.533333
3,1,16,0:00:00.533333
4,2,16,0:00:00.533333
5,2,16,0:00:00.533333
6,1,16,0:00:00.533333
14,1,16,0:00:00.533333
8,1,16,0:00:00.533333
1,1,17,0:00:00.566667
2,1,17,0:00:00.566667
3,1,17,0:00:00.566667
4,2,17,0:00:00.566667
5,2,17,0:00:00.566667
6,1,17,0:00:00.566667
14,1,17,0:00:00.566667
8,1,17,0:00:00.566667
1,1,18,0:00:00.600000
2,1,18,0:00:00.600000
3,1,18,0:00:00.600000
4,2,18,0:00:00.600000
5,2,18,0:00:00.600000
6,1,18,0:00:00.600000
14,1,18,0:00:00.600000
8,1,18,0:00:00.600000
1,1,19,0:00:00.633333
2,1,19,0:00:00.633333
3,1,19,0:00:00.633333
4,2,19,0:00:00.633333
5,2,19,0:00:00.633333
6,1,19,0:00:00.633333
14,1,19,0:00:00.633333
8,1,19,0:00:00.633333
1,1,20,0:00:00.666667
2,1,20,0:00:00.666667
3,1,20,0:00:00.666667
4,2,20,0:00:00.666667
5,2,20,0:00:00.666667
6,1,20,0:00:00.666667
14,1,20,0:00:00.666667
8,1,20,0:00:00.666667
1,1,21,0:00:00.700000
2,1,21,0:00:00.700000
3,1,21,0:00:00.700000
4,2,21,0:00:00.700000
5,2,21,0:00:00.700000
6,1,21,0:00:00.700000
14,1,21,0:00:00.700000
8,1,21,0:00:00.700000
1,1,22,0:00:00.733333
2,1,22,0:00:00.733333
3,1,22,0:00:00.733333
4,2,22,0:00:00.733333
5,2,22,0:00:00.733333
6,1,22,0:00:00.733333
14,1,22,0:00:00.733333
8,1,22,0:00:00.733333
1,1,23,0:00:00.766667
2,1,23,0:00:00.766667
3,1,23,0:00:00.766667
4,2,23,0:00:00.766667
5,2,23,0:00:00.766667
6,1,23,0:00:00.766667
14,1,23,0:00:00.766667
8,1,23,0:00:00.766667
1,1,24,0:00:00.800000
2,1,24,0:00:00.800000
3,1,24,0:00:00.800000
4,2,24,0:00:00.800000
5,2,24,0:00:00.800000
6,1,24,0:00:00.800000
